customer_id,name,surname,date_of_birth,country_id
1,Meghan,Agosta,1987-02-12,US
2,Rebecca,Johnston,1987-02-13,US
3,Laura,Stacey,1987-02-14,US
4,Jennifer,Wakefield,1987-02-15,US
5,Jillian,Saulnier,1987-02-16,US
6,Mélodie,Daoust,1987-02-17,US
7,Bailey,Bram,1987-02-18,US
8,Brianne,Jenner,1987-02-19,US
9,Sarah,Nurse,1987-02-20,US
10,Haley,Irwin,1987-02-21,US
11,Natalie,Spooner,1987-02-22,US
12,Emily,Clark,1987-02-23,US
13,Marie-Philip,Poulin,1987-02-24,DE
14,Blayre,Turnbull,1987-02-25,DE
15,Jocelyne,Larocque,1987-02-26,DE
16,Brigette,Lacquette,1987-02-27,DE
17,Lauriane,Rougeau,1987-02-28,DE
18,Laura,Fortino,1987-03-01,DE
19,Meaghan,Mikkelson,1987-03-02,DE
20,Renata,Fast,1987-03-03,DE
21,Shannon,Szabados,1987-03-04,DE
22,Geneviève,Lacasse,1987-03-05,DE
23,Ann-Renée,Desbiens,1987-03-06,DE
24,Gilbert,Brulé,1987-03-07,DE
25,Wojtek,Wolski,1987-03-08,BJ
26,Derek,Roy,1987-03-09,BL
27,Chris,Kelly,1987-03-10,BM
28,Rob,Klinkhammer,1987-03-11,BN
29,Brandon,Kozun,1987-03-12,BO
30,Quinton,Howden,1987-03-13,BQ
31,René,Bourque,1987-03-14,BR
32,Andrew,Ebbett,1987-03-15,BS
33,Mason,Raymond,1987-03-16,BT
34,Eric,O’Dell,1987-03-17,BV
35,Maxim,Lapierre,1987-03-18,BW
36,Linden,Vey,1987-03-19,BY
37,Christian,Thomas,1987-03-20,BZ
38,Karl,Stollery,1987-03-21,CA
39,Chris,Lee,1987-03-22,CC
40,Chay,Genoway,1987-03-23,CD
41,Marc-Andre,Gragnani,1987-03-24,CF
42,Stefan,Elliott,1987-03-25,CG
43,Cody,Goloubef,1987-03-26,CH
44,Mat,Robinson,1987-03-27,CI
45,Maxim,Noreau,1987-03-28,CK
46,Ben,Scrivens,1987-03-29,CL
47,Kevin,Poulin,1987-03-30,GB
48,Justin,Peters,1987-03-31,GB
49,Cayla,Barnes,1987-04-01,GB
50,Kacey,Bellamy,1987-04-02,GB
51,Hannah,Brandt,1987-04-03,GB
52,Dani,Cameranesi,1987-04-04,GB
53,Kendall,Coyne,1987-04-05,GB
54,Brianna,Decker,1987-04-06,GB
55,Meghan,Duggan,1987-04-07,GB
56,Kali,Flanagan,1987-04-08,GB
57,Nicole,Hensley,1987-04-09,GB
58,Megan,Keller,1987-04-10,GB
59,Amanda,Kessel,1987-04-11,GB
60,Hilary,Knight,1987-04-12,GB
61,Jocelyne,Lamoureux-Davidson,1987-04-13,GB
62,Monique,Lamoureux-Morando,1987-04-14,GB
63,Gigi,Marvin,1987-04-15,GB
64,Sidney,Morin,1987-04-16,GB
65,Kelly,Pannek,1987-04-17,GB
66,Amanda,Pelkey,1987-04-18,GB
67,Emily,Pfalzer,1987-04-19,GB
68,Alex,Rigsby,1987-04-20,GB
69,Maddie,Rooney,1987-04-21,ET
70,Haley,Skarupa,1987-04-22,FI
71,Lee,Stecklein,1987-04-23,FJ
72,Mark,Arcobello,1987-04-24,FK
73,Chad,Billins,1987-04-25,FM
74,Jonathan,Blum,1987-04-26,FO
75,Will,Borgen,1987-04-27,FR
76,Chris,Bourque,1987-04-28,FR
77,Bobby,Butler,1987-04-29,FR
78,Ryan,Donato,1987-04-30,FR
79,Matt,Gilroy,1987-05-01,FR
80,Brian,Gionta,1987-05-02,FR
81,Jordan,Greenway,1987-05-03,FR
82,Ryan,Gunderson,1987-05-04,FR
83,Chad,Kolarik,1987-05-05,FR
84,David,Leggio,1987-05-06,FR
85,Broc,Little,1987-05-07,IT
86,Brandon,Maxwell,1987-05-08,IT
87,John,McCarthy,1987-05-09,IT
88,Brian,O'Neill,1987-05-10,IT
89,Garrett,Roe,1987-05-11,IT
90,Bobby,Sanguinetti,1987-05-12,ES
91,Jim,Slater,1987-05-13,ES
92,Ryan,Stoa,1987-05-14,ES
93,Troy,Terry,1987-05-15,ES
94,Noah,Welch,1987-05-16,ES
95,James,Wisniewski,1987-05-17,ES
96,Ryan,Zapolski,1987-05-18,ES
